,Close
1,5900.649902
2,5762.75
3,6138.600098
4,5137.450195
5,5223.5
6,4734.5
7,5165.899902
8,4870.100098
9,4040.550049
10,4332.950195
11,4360
12,3921.199951
13,2885.600098
14,2755.100098
15,2959.149902
16,2874.800049
17,2763.649902
18,3020.949951
19,3473.949951
20,4448.950195
21,4291.100098
22,4636.450195
23,4662.100098
24,5083.950195
25,4711.700195
26,5032.700195
27,5201.049805
28,4882.049805
29,4922.299805
30,5249.100098
31,5278
32,5086.299805
33,5312.5
34,5367.600098
35,5402.399902
36,6029.950195
37,6017.700195
38,5862.700195
39,6134.5
40,5505.899902
41,5333.25
42,5833.75
43,5749.5
44,5473.100098
45,5647.399902
46,5482
47,5001
48,4943.25
49,5326.600098
50,4832.049805
51,4624.299805
52,5199.25
53,5385.200195
54,5295.549805
55,5248.149902
56,4924.25
57,5278.899902
58,5229
59,5258.5
60,5703.299805
61,5619.700195
62,5879.850098
63,5905.100098
64,6034.75
65,5693.049805
66,5682.549805
67,5930.200195
68,5985.950195
69,5842.200195
70,5742
71,5471.799805
72,5735.299805
73,6299.149902
74,6176.100098
75,6304
76,6089.5
77,6276.950195
78,6704.200195
79,6696.399902
80,7229.950195
81,7611.350098
82,7721.299805
83,7954.350098
84,7964.799805
85,8322.200195
86,8588.25
87,8282.700195
88,8808.900391
89,8844.599609
90,8491
91,8181.5
92,8433.650391
93,8368.5
94,8532.849609
95,7971.299805
96,7948.899902
97,8065.799805
98,7935.25
99,7946.350098
100,7563.549805
101,6987.049805
102,7738.399902
103,7849.799805
104,8160.100098
105,8287.75
106,8638.5
107,8786.200195
108,8611.150391
109,8638
110,8224.5
111,8185.799805
112,8561.299805
113,8879.599609
114,9173.75
115,9304.049805
116,9621.25
117,9520.900391
118,10077.09961
119,9917.900391
120,9788.599609
121,10335.29981
122,10226.54981
123,10530.7002
124,11027.7002
125,10492.84961
126,10113.7002
127,10739.34961
128,10736.15039
129,10714.29981
130,11356.5
131,11680.5
132,10930.4502
133,10386.59961
134,10876.75
135,10862.54981
136,10830.9502
137,10792.5
138,11623.90039
139,11748.15039
140,11922.79981
141,11788.84961
142,11118
143,11023.25
144,11474.4502
145,11877.4502
146,12056.04981
147,12168.4502
148,11962.09961
149,11201.75
150,8597.75
151,9859.900391
152,9580.299805
153,10302.09961
154,11073.4502
155,11387.5
156,11247.54981
157,11642.40039
158,12968.9502
159,13981.75
160,13634.59961
161,14529.15039
162,14690.7002
163,14631.09961
164,15582.79981
165,15721.5
166,15763.04981
167,17132.19922
168,17618.15039
169,17671.65039
170,16983.19922
171,17354.05078
172,17339.84961
173,16793.90039
174,17464.75
175,17102.55078
176,16584.55078
177,15780.25
178,17158.25
179,17759.30078
180,17094.34961
181,18012.19922
182,18758.34961
183,18105.30078
184,17894.84961
