Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,520.799988,529.000000,514.599976,528.250000,525.912415,9203847
2021-04-06,528.500000,537.849976,524.549988,532.200012,529.844971,12873443
2021-04-07,537.000000,546.900024,535.250000,541.599976,539.203308,20997280
2021-04-08,546.799988,548.549988,540.500000,543.000000,540.597168,11157958
2021-04-09,539.500000,549.750000,536.500000,545.250000,542.837219,11426998
2021-04-12,537.549988,538.849976,518.500000,522.450012,520.138123,9687846
2021-04-13,526.400024,540.000000,523.099976,536.150024,533.777527,6535007
2021-04-15,540.000000,546.150024,530.250000,539.349976,536.963318,9805711
2021-04-16,540.049988,544.150024,538.000000,540.750000,538.357117,6157781
2021-04-19,532.250000,535.000000,523.250000,526.450012,524.120422,7232945
2021-04-20,529.000000,537.000000,525.900024,530.200012,527.853821,7233304
2021-04-22,530.000000,533.400024,526.049988,530.849976,528.500916,6552131
2021-04-23,529.000000,532.450012,519.099976,522.599976,520.287415,6992388
2021-04-26,522.750000,528.500000,522.750000,527.549988,525.215515,5819893
2021-04-27,527.450012,538.549988,526.250000,534.299988,531.935669,9693047
2021-04-28,535.950012,548.000000,535.599976,544.299988,541.891418,11970652
2021-04-29,549.700012,550.000000,539.099976,540.849976,538.456665,8683857
2021-04-30,533.500000,547.000000,533.500000,536.750000,534.374817,8178192
2021-05-03,530.000000,562.500000,529.049988,558.849976,556.377014,14288088
2021-05-04,565.950012,565.950012,546.700012,552.450012,550.005371,13934607
2021-05-05,556.900024,564.950012,554.000000,559.950012,557.472168,11872729
2021-05-06,559.950012,564.400024,552.599976,558.750000,556.277466,9000753
2021-05-07,561.200012,572.900024,556.900024,568.500000,565.984314,12656867
2021-05-10,572.000000,577.000000,569.099976,572.549988,570.016418,8211446
2021-05-11,565.500000,574.849976,564.049988,568.400024,565.884766,7885422
2021-05-12,568.000000,569.150024,558.200012,561.750000,559.264221,6689476
2021-05-14,564.000000,569.349976,556.150024,560.400024,557.920166,7555855
